metric,value
n_cells_bbox,1510
n_cells_ocean,874
n_cells_sampled,400
n_months,24
gfw_rows,1654
gfw_hours_total,4752
gfw_vessel_obs_total,1740
gfw_months_with_effort,24
gfw_flag_gear_pairs,14
q4_gfw_cells_per_h3_median,1
q4_gfw_cells_per_h3_max,4
q4_h3_cells_per_sst_pixel_median,1
q4_h3_cells_per_sst_pixel_max,3
q4_dist_centroid_pixel_km_median,11.2
q4_dist_centroid_pixel_km_max,17.98
q5_share_cellmonths_effort_pos,0.0518
q5_share_cells_any_effort,0.6425
q5_months_with_any_effort,23
q6_sd_within_cell_log1p_hours,0.2328
q6_sd_between_cells_log1p_hours,0.2716
q6_sd_within_cell_sst,0.737
q6_mhw_events_1991_2023,16172
q6_mhw_events_pilot,2530
q6_share_pixels_with_mhw_pilot,1
q6_share_cellmonths_mhw_any,0.6055
q6_share_cellmonths_mhw_5d,0.5699
q7_runtime_total_min,44.7
q7_min_gfw,2.3
q7_min_oisst_download,41
q7_min_sst_read,0
q7_min_mhw,1.4
q7_ram_peak_mb,370
sst_days,12053
sst_gaps,0
oisst_years_downloaded_now,21
