geartype,h,share
trawlers,3901043.89999994,0.459939614864402
drifting_longlines,1901299.7300001,0.224166425186358
set_longlines,1347278.23000001,0.158846361667811
fishing,993237.530000012,0.117104369683479
inconclusive,182342.339999999,0.0214984675340553
pole_and_line,63638.26,0.00750305752648442
set_gillnets,35960.83,0.00423984213569206
other_purse_seines,28352.5299999999,0.00334281081241654
fixed_gear,14996.63,0.00176812781483029
tuna_purse_seines,5846.97,0.000689367563877903
trollers,3517.83,0.000414758053699027
squid_jigger,2383.87,0.00028106226891905
pots_and_traps,826.32,0.0000974245131039819
dredge_fishing,506.3,0.0000596936186762344
purse_seines,412.35,0.0000486167561942431
