model,term,Estimate,Std. Error,z value,Pr(>|z|),vcov,t value,Pr(>|t|)
ppml_mhw,mhw_days,-0.00412751059128617,0.00338635462683004,-1.21886543086302,0.222895272241722,conley_200km,,
ppml_mhw_anom,mhw_days,-0.0113395569109561,0.00346704121465698,-3.27067265973588,0.00107292023617943,conley_200km,,
ppml_mhw_anom,sst_anom,0.130804620087643,0.0397705594542245,3.28898114290289,0.00100550760146138,conley_200km,,
ext_lpm,mhw_days,-0.00060761654287873,0.000416224762149036,,,conley_200km,-1.45982795387162,0.144337824984382
log1p_rob,mhw_days,-0.00331985971621064,0.00183557773682406,,,conley_200km,-1.80861842547443,0.0705107446931763
ppml_dyn,"l(mhw_days, 0)",-0.00183590932709505,0.00196997073263028,-0.931947514085025,0.351363650706882,conley_200km,,
ppml_dyn,"l(mhw_days, 1)",-0.000903758487029873,0.00252910284669148,-0.357343509463108,0.720834661417895,conley_200km,,
ppml_dyn,"l(mhw_days, 2)",-0.00587249479647544,0.00185714139256674,-3.16211507641813,0.00156627654986232,conley_200km,,
ppml_dyn,"l(mhw_days, 3)",-0.000294851280436475,0.00260533487872655,-0.11317212341647,0.909894095945443,conley_200km,,
ppml_intensity,mhw_days,-0.00677242888285293,0.00365157256555547,-1.85466090602604,0.0636446647372006,conley_200km,,
ppml_intensity,mhw_max_int,0.0607469743310638,0.0313934882478543,1.93501830224986,0.052988049791677,conley_200km,,
