model,term,b,se,stat,p,vcov
res5_main,mhw_days,-0.0107158138315228,0.00357985588662964,-2.99336458530222,0.00275919921899709,conley_200km
res5_main,sst_anom,0.122392624925412,0.0391550043089831,3.12584884321751,0.0017729265514807,conley_200km
trend_regyr,mhw_days,-0.00655658148292549,0.00242288323209075,-2.70610708600584,0.00680770894689973,conley_200km
trend_regyr,sst_anom,0.123015653725062,0.0349475556789947,3.52000737490779,0.000431534799457056,conley_200km
stable_cells,mhw_days,-0.0119801736613903,0.00363216699756944,-3.29835430733421,0.000972533343539085,conley_200km
stable_cells,sst_anom,0.136521111334569,0.0393004386610562,3.47378085298196,0.000513179982858232,conley_200km
conley100,mhw_days,-0.0113395569109571,0.00298329663847789,-3.80101554927594,0.000144104257670504,conley_100km
conley100,sst_anom,0.130804620087659,0.0393778490895373,3.32178174054747,0.000894446300982918,conley_100km
conley400,mhw_days,-0.0113395569109571,0.00355345599370485,-3.19113475192764,0.00141715167679509,conley_400km
conley400,sst_anom,0.130804620087659,0.0302899749761018,4.31841294655612,0.0000157155185200964,conley_400km
mhw_p95,mhw_days,-0.016548378352614,0.00423975380876833,-3.90314605494071,0.0000949503650335522,conley_200km
mhw_p95,sst_anom,0.117751638144779,0.0386424353686155,3.04721058653602,0.00230975830609373,conley_200km
